open,hashlib,os.abort,compile,time
pathlib,hmac,os.execl,input,time.set
os.path,secrets,os.execle,memoryview,time.sleep
fileinput,socket,os._exit,pickle,getpass
stat,ssl,os.kill,copyreg,curses
filecmp,email,os.fork,shelve,platform
tempfile,mailbox,os.register_at_fork,marshal,ctypes
glob,asyncio,os.spawnl,dbm,xml
fnmatch,select,os.startfile,sqlite3,tkinter
linecache,selectors,os.system,zlib,test
shutil,asyncore,os.wait,gzip,debugging
macpath,asynchat,os.SCHED,bz2,sys
csv,signal,os.sched,lzma,sysconfig
configparser,mailcap,os.conf,zipfile,traceback
netrc,mimetypes,os.sysconf,tarfile,site
xdrlib,quopri,threading,eval,
plistlib,urllib,multiprocessing,dir,
os.name,webbrowser,concurrent,getattr,
os.ctermid,cgi,subprocess,delattr,
os.environ,cgitb,subprocess security,setattr,
os.environb,wsgiref,sched,__import__,
os.chdir,http,queue,,
os.fchdir,ftplib,_thread,,
os.getcwd,poplib,_dummy_thread,,
os.fspath,imaplib,dummy_threading,,
os.get_exec_path,nntplib,asyncio,,
os.getegid,smtplib,runpy,,
os.geteuid,smtpd,exec,,
os.getgid,telnetlib,,,
os.getgrouplist,uuid,,,
os.getlogin,socketserver,,,
os.getpgid,xmlrpc,,,
os.getpgrp,ipaddress,,,
os.getpid,,,,
os.getppid,,,,
os.getresuid,,,,
os.getresgid,,,,
os.getuid,,,,
os.setegid,,,,
os.seteuid,,,,
os.setgid,,,,
os.setuid,,,,
os.fdopen,,,,
os.fchown,,,,
os.open,,,,
os.openpty,,,,
os.pipe,,,,
os.sendfile,,,,
os.write,,,,
os.access,,,,
os.link,,,,
os.mkdir,,,,
os.rename,,,,
os.replace,,,,
os.rmdir,,,,
io.open,,,,
io.IOBase,,,,
io.RawIOBase,,,,
io.FileIO,,,,
io.BytesIO,,,,
io.BufferedWriter,,,,
io.BufferedRandom,,,,
io.BufferedRWPair,,,,
io.TextIOBase,,,,
io.TextIOWrapper,,,,
io.StringIO,,,,
select,,,,
selectors,,,,
asyncio,,,,
mmap,,,,
json,,,,
aifc,,,,
sunau,,,,
wave,,,,
chunk,,,,
distutils,,,,
venv,,,,
ensurepip,,,,
zipapp,,,,
msilib,,,,
msvcrt,,,,
